author,title
"Andrzej Sapkowski"," The Last Wish"
"Agatha Christie","The Mysterious Affair at Styles"
"Agatha Christie","The Secret Adversary"
"Agatha Christie","And Then There Were None"
"Agatha Christie","Murder on the Orient Express"
"Agatha Christie","The Murder of Roger Ackroyd"
"Agatha Christie","Death on the Nile"
"J.R.R. Tolkien","The Hobbit"
"J.R.R. Tolkien","The Lord of the Rings"
"J.R.R. Tolkien","The Silmarillion"
"George Orwell","Animal Farm"
"George Orwell","Nineteen Eighty-Four"
"George Orwell","Down and Out in Paris and London"
"Isaac Asimov","Foundation"
"Isaac Asimov","I, Robot"
"Isaac Asimov","The Gods Themselves"
"Arthur Conan Doyle","A Study in Scarlet"
"Arthur Conan Doyle","The Hound of the Baskervilles"
"Arthur Conan Doyle","The Sign of the Four"
"Stephen King","The Shining"
"Stephen King","It"
"Stephen King","The Stand"
"J.K. Rowling","Harry Potter and the Philosopher's Stone"
"J.K. Rowling","Harry Potter and the Chamber of Secrets"
"J.K. Rowling","Harry Potter and the Prisoner of Azkaban"
"Dan Brown","The Lost Symbol"
"Mark Twain","The Adventures of Tom Sawyer"
"Jane Austen","Pride and Prejudice"
"Jane Austen","Emma"
"Jane Austen","Sense and Sensibility"
"Ernest Hemingway","The Old Man and the Sea"
"Ernest Hemingway","The Sun Also Rises"
"Fyodor Dostoyevsky","The Brothers Karamazov"
"Fyodor Dostoyevsky","The Idiot"
"Leo Tolstoy","War and Peace"
"Gabriel García Márquez","Chronicle of a Death Foretold"
"Haruki Murakami","Norwegian Wood"
"Haruki Murakami","Kafka on the Shore"
"Haruki Murakami","The Wind-Up Bird Chronicle"
"Paulo Coelho","The Alchemist"
"Paulo Coelho","Veronika Decides to Die"
"Paulo Coelho","The Pilgrimage"
"J.D. Salinger","The Catcher in the Rye"
"J.D. Salinger","Franny and Zooey"rse"
"Douglas Adams","Life, the Universe and Everything"
"Neil Gaiman","American Gods"
"Neil Gaiman","The Graveyard Book"
"Neil Gaiman","Good Omens"
"Frank Herbert","Dune"
"Frank Herbert","Dune Messiah"
"Frank Herbert","Children of Dune"
"Ray Bradbury","Fahrenheit 451"
"Philip K. Dick","A Scanner Darkly"
"Kurt Vonnegut","Slaughterhouse-Five"
"Kurt Vonnegut","Cat's Cradle"
"Kurt Vonnegut","Breakfast of Champions"
"John Steinbeck","Of Mice and Men"
"John Steinbeck","East of Eden"
"H.G. Wells","The Time Machine"
"H.G. Wells","The War of the Worlds"
"H.G. Wells","The Invisible Man"
"Jules Verne","Twenty Thousand Leagues Under the Sea"
"Jules Verne","Journey to the Center of the Earth"
"Jules Verne","Around the World in Eighty Days"
"Lewis Carroll","Alice's Adventures in Wonderland"
"Lewis Carroll","Through the Looking-Glass"
"Lewis Carroll","The Hunting of the Snark"
"C.S. Lewis","The Lion, the Witch and the Wardrobe"
"C.S. Lewis","The Magician's Nephew"
"C.S. Lewis","The Last Battle"
"Roald Dahl","Charlie and the Chocolate Factory"
"Roald Dahl","Matilda"
"Roald Dahl","The BFG"
"Antoine de Saint-Exupéry","The Little Prince"
"Antoine de Saint-Exupéry","Night Flight"
"Antoine de Saint-Exupéry","Wind, Sand and Stars"
"Oscar Wilde","The Picture of Dorian Gray"
"Mary Shelley","The Last Man"
"Mary Shelley","Mathilda"
"Robert Louis Stevenson","Treasure Island"
"H.P. Lovecraft","At the Mountains of Madness"
"H.P. Lovecraft","The Shadow Out of Time"
"Edgar Allan Poe","The Raven"
"Edgar Allan Poe","The Fall of the House of Usher"
"Edgar Allan Poe","The Murders in the Rue Morgue"
"William Shakespeare","Hamlet"
"William Shakespeare","Romeo and Juliet"
"William Shakespeare","Macbeth"
"Virgil","The Culex"
"Dante Alighieri","The Divine Comedy"
"Dante Alighieri","The New Life"
"Dante Alighieri","The Banquet"
"Miguel de Cervantes","Don Quixote"
"Miguel de Cervantes","The Exemplary Novels"
"Miguel de Cervantes","The Trials of Persiles and Sigismunda"
"Voltaire","Candide"
"Voltaire","Zadig"
"Voltaire","Micromegas"
"Jonathan Swift","Gulliver's Travels"

